
The shuffled deck.
10 of Spades 10
4 of Hearts 4
4 of Spades 4
4 of Clubs 4
10 of Hearts 10
2 of Clubs 2
Ace of Diamonds 11
5 of Diamonds 5
8 of Spades 8
2 of Hearts 2
King of Hearts 10
Queen of Clubs 10
8 of Clubs 8
5 of Clubs 5
King of Diamonds 10
Jack of Spades 10
6 of Diamonds 6
3 of Diamonds 3
Ace of Clubs 11
10 of Clubs 10
2 of Spades 2
7 of Hearts 7
6 of Spades 6
Jack of Hearts 10
Queen of Spades 10
King of Clubs 10
Ace of Hearts 11
7 of Clubs 7
3 of Hearts 3
Jack of Clubs 10
Jack of Diamonds 10
7 of Spades 7
King of Spades 10
6 of Hearts 6
Queen of Hearts 10
9 of Spades 9
9 of Diamonds 9
7 of Diamonds 7
2 of Diamonds 2
6 of Clubs 6
Queen of Diamonds 10
5 of Hearts 5
9 of Hearts 9
5 of Spades 5
3 of Clubs 3
10 of Diamonds 10
Ace of Spades 11
8 of Hearts 8
8 of Diamonds 8
9 of Clubs 9
4 of Diamonds 4
3 of Spades 3
